,course_id,present_city,course_city,family_members_cnt,working_family_members,course_hours_per_day,course_completed
0,9.0,Kolkata,Chennai,3.0,1.0,5.0,0.0
1,8.0,Kolkata,Chennai,3.0,2.0,6.0,1.0
2,7.0,Bangalore,Mumbai,3.0,1.0,6.0,1.0
3,7.0,Mumbai,Kolkata,2.0,2.0,6.0,0.0
4,9.0,Chennai,Kolkata,3.0,2.0,5.0,1.0
5,5.0,Chennai,Chennai,2.0,1.0,4.0,0.0
6,3.0,Chennai,Chennai,4.0,2.0,5.0,1.0
7,6.0,Kolkata,Delhi,3.0,1.0,5.0,1.0
8,7.0,Bangalore,Bangalore,4.0,1.0,8.0,0.0
9,8.0,Chennai,Bangalore,2.0,2.0,6.0,0.0
10,3.0,Delhi,Mumbai,2.0,2.0,4.0,0.0
11,5.0,Chennai,Delhi,3.0,2.0,5.0,1.0
12,7.0,Chennai,Kolkata,4.0,2.0,6.0,0.0
13,9.0,Delhi,Kolkata,4.0,1.0,8.0,1.0
14,9.0,Mumbai,Bangalore,3.0,1.0,4.0,1.0
15,9.0,Kolkata,Chennai,2.0,1.0,6.0,0.0
16,0.0,Delhi,Kolkata,3.0,1.0,5.0,1.0
17,8.0,Mumbai,Mumbai,3.0,2.0,4.0,1.0
18,9.0,Kolkata,Mumbai,3.0,1.0,5.0,1.0
19,2.0,Delhi,Chennai,2.0,1.0,5.0,0.0
20,2.0,Bangalore,Bangalore,2.0,1.0,6.0,1.0
21,3.0,Bangalore,Kolkata,2.0,2.0,5.0,0.0
22,9.0,Bangalore,Delhi,2.0,2.0,5.0,1.0
23,9.0,Chennai,Delhi,2.0,1.0,6.0,1.0
24,3.0,Bangalore,Mumbai,2.0,1.0,6.0,1.0
25,3.0,Bangalore,Chennai,2.0,1.0,4.0,1.0
26,0.0,Kolkata,Delhi,2.0,1.0,5.0,0.0
27,6.0,Mumbai,Mumbai,3.0,1.0,8.0,1.0
28,0.0,Chennai,Kolkata,4.0,1.0,8.0,1.0
29,9.0,Chennai,Chennai,4.0,1.0,5.0,0.0
30,3.0,Chennai,Mumbai,3.0,2.0,8.0,0.0
31,1.0,Kolkata,Kolkata,4.0,2.0,6.0,1.0
32,9.0,Kolkata,Chennai,4.0,2.0,6.0,0.0
33,8.0,Kolkata,Kolkata,4.0,2.0,6.0,1.0
34,1.0,Bangalore,Kolkata,2.0,2.0,8.0,1.0
35,0.0,Chennai,Chennai,4.0,1.0,5.0,1.0
36,3.0,Delhi,Bangalore,4.0,1.0,6.0,1.0
37,1.0,Chennai,Chennai,3.0,2.0,5.0,1.0
38,5.0,Bangalore,Delhi,3.0,2.0,6.0,1.0
39,6.0,Delhi,Bangalore,3.0,1.0,6.0,0.0
40,4.0,Bangalore,Kolkata,2.0,2.0,4.0,0.0
41,8.0,Bangalore,Chennai,2.0,1.0,4.0,0.0
42,5.0,Kolkata,Kolkata,2.0,2.0,8.0,1.0
43,3.0,Kolkata,Delhi,4.0,2.0,8.0,1.0
44,6.0,Chennai,Kolkata,2.0,1.0,4.0,0.0
45,6.0,Delhi,Bangalore,3.0,1.0,6.0,1.0
46,3.0,Mumbai,Chennai,3.0,1.0,6.0,1.0
47,9.0,Mumbai,Bangalore,3.0,1.0,4.0,0.0
48,1.0,Bangalore,Mumbai,2.0,2.0,8.0,1.0
49,0.0,Bangalore,Delhi,2.0,1.0,6.0,1.0
50,3.0,Bangalore,Mumbai,4.0,2.0,6.0,0.0
51,4.0,Bangalore,Kolkata,4.0,1.0,8.0,1.0
52,0.0,Chennai,Delhi,3.0,1.0,5.0,1.0
53,9.0,Delhi,Mumbai,3.0,1.0,5.0,0.0
54,6.0,Kolkata,Delhi,4.0,1.0,6.0,0.0
55,2.0,Bangalore,Chennai,4.0,1.0,5.0,0.0
56,1.0,Bangalore,Mumbai,2.0,2.0,8.0,0.0
57,7.0,Chennai,Delhi,4.0,1.0,6.0,1.0
58,3.0,Bangalore,Delhi,3.0,2.0,6.0,1.0
59,2.0,Bangalore,Bangalore,2.0,1.0,5.0,0.0
